country,location_name,latitude,longitude,YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS10M,WS50M,WD10M,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
India,Mumbai,19.07,72.87,2025,8,2,22,25.07,2.67,1.34,2.48,207.1,95.18,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,2,23,24.82,2.8,1.64,3.08,193.8,94.83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,0,24.6,2.81,1.91,3.45,184.5,94.83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,1,24.39,1.71,2,3.52,181.1,95.22,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,2,24.25,0.4,1.92,3.38,176.1,95.57,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,3,24.17,0.4,1.81,3.28,168.5,95.88,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,4,24.13,0.36,1.7,3.18,167.1,96.02,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,5,24.1,0.4,1.68,3.14,169,96.05,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,6,24.4,0.41,1.93,3.24,165.6,95.24,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,7,25.16,1.55,2.76,3.36,169.5,91.6,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,8,25.84,3.65,3.02,3.54,177.3,88.69,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,9,26.79,4.98,3.19,3.65,184.9,85.52,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,10,27.49,5.96,3.2,3.63,191.9,83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,11,28.15,7.91,3.07,3.44,202,81.25,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,12,28.69,9.81,3.02,3.34,216.4,79.78,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,13,28.92,13.17,3.12,3.42,230.1,79.03,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,14,28.71,21.14,3.47,3.81,240.1,79.58,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,15,28.27,20.15,3.91,4.34,244.9,81.47,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,16,27.56,13.78,4.05,4.63,246.7,83.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,17,26.72,17.32,3.6,4.42,249.2,87.16,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,18,25.85,14.4,2.5,3.94,250.1,91.8,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,19,25.28,6.95,1.79,3.49,250.5,94.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,20,25.03,4.94,1.57,3.02,246.4,95.63,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,21,24.91,3.58,1.4,2.57,240,96.04,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,22,24.92,4.38,1.21,2.19,226,96.01,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,3,23,24.84,5.6,1.17,2.1,209.6,95.69,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,0,24.69,6.25,1.16,2.11,201.2,95.54,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,1,24.57,2.74,1.19,2.17,200.7,95.51,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,2,24.52,0.99,1.15,2.08,202.5,95.47,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,3,24.54,1.06,1.08,1.94,204.7,95.26,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,4,24.57,1.73,1.06,1.95,208,95.17,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,5,24.58,0.99,1.08,1.97,213,94.99,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,6,24.83,0.41,1.18,1.96,212.2,94.21,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,7,25.46,2.29,1.65,1.96,216.4,90.2,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,8,26.15,5.38,1.85,2.12,234,87.63,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,9,26.99,6.78,2.15,2.41,248.2,84.6,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,10,27.74,8.69,2.47,2.73,255,82.29,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,11,28.37,10.48,2.79,3.03,258,80.69,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,12,28.74,10.97,3.12,3.38,260,79.98,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,13,28.91,12.38,3.45,3.74,262.5,79.15,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,14,28.72,11.65,3.77,4.13,264.2,79.45,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,15,28.46,10.14,3.89,4.31,266.2,80.17,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,16,27.88,9.91,3.75,4.24,268.6,81.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,17,27.06,7.3,3.44,4.18,271.2,85.27,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,18,26.05,7.16,2.61,4.15,270,90.75,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,19,25.38,3.59,2.01,3.89,265.7,94.1,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,20,25.07,2.31,1.76,3.42,263.5,95.05,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,21,24.87,2.64,1.62,2.88,261.1,95.36,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,22,24.85,1.44,1.46,2.4,253.7,95.04,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,4,23,24.92,1.62,1.37,2.34,246.4,94.65,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,0,24.96,0.51,1.27,2.15,242.4,94.4,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,1,24.97,1.77,1.16,1.94,237.7,94.14,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,2,24.95,1.22,1.12,1.81,234.5,93.64,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,3,24.9,1.01,1.03,1.62,229.3,93.24,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,4,24.79,0.81,0.92,1.38,231.6,92.37,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,5,24.81,0.33,0.8,1.16,232.1,90.77,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,6,25.01,0.48,0.65,0.91,225,91.18,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,7,25.58,1.35,0.72,0.79,193.6,88.61,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,8,26.45,4.01,0.84,0.87,178,85.17,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,9,27.57,7.8,0.92,0.99,197.7,80.29,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,10,28.4,7.89,1.43,1.51,233,77.7,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,11,28.99,10.4,2.21,2.3,249,77.07,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,12,28.76,9.98,2.79,2.95,256.8,78,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,13,28.86,7.37,3.29,3.49,260.9,78.57,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,14,28.77,9,3.7,3.96,261.6,78.87,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,15,28.23,7.28,3.76,4.1,261.4,80.61,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,16,27.66,4.8,3.58,3.99,263.4,82.74,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,17,26.91,3.5,3.17,3.74,269.5,85.75,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,18,26.06,1.98,2.18,3.44,274,90.96,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,19,25.5,0.17,1.45,2.78,270.4,94.42,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,20,25.28,0.17,1.36,2.37,258.5,94.77,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,21,25.09,0.11,1.35,2.23,245.9,94.82,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,22,24.96,0.29,1.32,2.15,233.7,94.77,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,5,23,25,0.71,1.29,2.22,233.5,94.31,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,0,24.96,0.99,1.32,2.39,241.9,94.52,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,1,24.85,0.85,1.42,2.63,246.7,94.6,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,2,24.79,0.76,1.35,2.46,248.2,94.76,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,3,24.8,1.76,1.27,2.25,255,94.66,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,4,24.85,1.72,1.29,2.22,266.9,94.33,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,5,24.9,2.25,1.27,2.12,276.3,93.89,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,6,25.18,1.36,1.11,1.85,284,93.27,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,7,25.93,1.97,1.36,1.71,286.7,87.26,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,8,26.46,2.42,1.47,1.67,287,84.74,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,9,27.43,5.57,1.53,1.69,285.9,81.48,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,10,28.44,5.03,1.69,1.81,281.6,77.44,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,11,29.14,4.72,2.05,2.11,275.9,74.83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,12,29.41,4.63,2.58,2.65,270.7,73.93,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,13,29.21,5.39,3.11,3.26,270.2,74.79,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,14,28.76,6.54,3.51,3.75,272.6,76.74,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,15,28.24,4.51,3.63,3.96,275.7,79.02,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,16,27.72,2.89,3.55,3.96,279.9,81.1,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,17,27.01,0.49,3.01,3.66,283.7,84.31,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,18,26.17,0.25,1.83,3.12,285.2,90.67,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,19,25.65,0.08,1.34,2.49,279.9,93.72,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,20,25.41,0.02,1.29,2.14,269.6,93.89,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,21,25.29,0.02,1.2,1.83,259.9,93.17,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,22,25.14,0.06,1.21,1.83,253.2,93.18,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,6,23,24.97,0.04,1.25,1.89,256.6,93.53,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,0,24.89,0.09,1.23,1.84,262.1,93.32,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,1,24.82,0.25,1.16,1.69,266.5,92.96,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,2,24.87,0.71,0.92,1.3,271.9,91.9,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,3,24.98,1.15,0.64,0.88,279.9,90.22,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,4,25.11,0.2,0.41,0.57,270,88.83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,5,25.19,0.29,0.31,0.43,234.2,87.97,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,6,25.19,0.38,0.38,0.5,213.3,89.09,-999,-999,-999
